Product_ID,Product_Category,price$,storeID,supplierID,storeName,supplierName
P00276642,Toys,16.19,2,13,Tech Haven,Samsung Electronics
P00334242,Grocery,24.53,3,39,Sound Zone,Sonos Inc.
P00247542,Toys,8.79,1,16,Electro Mart,Sony Corporation
P00338442,Grocery,4.35,1,16,Electro Mart,Sony Corporation
P00275142,Health & Beauty,72.46,4,18,Game Zone,Razer Inc.
P00333042,Health & Beauty,74.1,1,16,Electro Mart,Sony Corporation
P00166242,Toys,61.42,4,18,Game Zone,Razer Inc.
P00161942,Health & Beauty,47.33,5,18,InnoTech,Razer Inc.
P00348242,Toys,73.81,3,39,Sound Zone,Sonos Inc.
P00042142,Grocery,32.73,2,13,Tech Haven,Samsung Electronics
P00244242,Grocery,77.22,6,9,Photo World,Canon Inc.
P00217742,Health & Beauty,17.31,4,18,Game Zone,Razer Inc.
P00019342,Grocery,65.73,1,16,Electro Mart,Sony Corporation
P00100642,Health & Beauty,62.36,3,39,Sound Zone,Sonos Inc.
P00073842,Grocery,46.32,2,13,Tech Haven,Samsung Electronics
P00366542,Health & Beauty,76.4,3,39,Sound Zone,Sonos Inc.
P00190742,Home & Kitchen,51.75,4,18,Game Zone,Razer Inc.
P00151842,Clothing,7.84,6,9,Photo World,Canon Inc.
P00112642,Grocery,46.93,4,18,Game Zone,Razer Inc.
P00118442,Grocery,23.51,5,18,InnoTech,Razer Inc.
P00034442,Grocery,74.55,4,18,Game Zone,Razer Inc.
P00222242,Grocery,12.4,3,39,Sound Zone,Sonos Inc.
P00118342,Electronics,39.62,6,9,Photo World,Canon Inc.
P00324742,Electronics,33.6,2,13,Tech Haven,Samsung Electronics
P00190042,Home & Kitchen,26.51,4,18,Game Zone,Razer Inc.
P0094142,Clothing,51.07,2,13,Tech Haven,Samsung Electronics
P00138542,Health & Beauty,36.87,7,17,Health Zone,Garmin Ltd.
P00158542,Health & Beauty,24.02,2,13,Tech Haven,Samsung Electronics
P00157542,Toys,53.34,7,17,Health Zone,Garmin Ltd.
P00044142,Toys,45.12,1,16,Electro Mart,Sony Corporation
P00112542,Grocery,60.93,6,9,Photo World,Canon Inc.
P00339542,Grocery,44.02,3,39,Sound Zone,Sonos Inc.
P00127842,Grocery,65.76,3,39,Sound Zone,Sonos Inc.
P00125942,Grocery,37.31,5,18,InnoTech,Razer Inc.
P00251342,Health & Beauty,37.61,3,39,Sound Zone,Sonos Inc.
P00249642,Home & Kitchen,40.09,2,13,Tech Haven,Samsung Electronics
P00124842,Patio & Garden,39.23,5,18,InnoTech,Razer Inc.
P00250642,Patio & Garden,8.21,3,39,Sound Zone,Sonos Inc.
P00058142,Home & Kitchen,40.29,1,16,Electro Mart,Sony Corporation
P00117442,Health & Beauty,8.46,4,18,Game Zone,Razer Inc.
P00251642,Grocery,17.83,5,18,InnoTech,Razer Inc.
P00244842,Patio & Garden,69.11,3,39,Sound Zone,Sonos Inc.
P00220242,Home & Kitchen,73.37,1,16,Electro Mart,Sony Corporation
P00351142,Grocery,73.26,4,18,Game Zone,Razer Inc.
P00213242,Health & Beauty,62.23,1,16,Electro Mart,Sony Corporation
P00195942,Home & Kitchen,39.94,3,39,Sound Zone,Sonos Inc.
P00115642,Toys,79.9,3,39,Sound Zone,Sonos Inc.
P0098242,Grocery,63.35,2,13,Tech Haven,Samsung Electronics
P00262242,Grocery,8.93,51,51,Pakistan,Pakistan
P00258742,Health & Beauty,58.84,4,18,Game Zone,Razer Inc.
P00218242,Health & Beauty,32.23,6,9,Photo World,Canon Inc.
P00021742,Health & Beauty,60.01,5,18,InnoTech,Razer Inc.
P00313042,Health & Beauty,22.65,7,17,Health Zone,Garmin Ltd.
P00133742,Health & Beauty,65.28,5,18,InnoTech,Razer Inc.
P00077042,Health & Beauty,11.97,5,18,InnoTech,Razer Inc.
P00280542,Patio & Garden,77.41,3,39,Sound Zone,Sonos Inc.
P00225842,Electronics,22.92,3,39,Sound Zone,Sonos Inc.
P00278942,Grocery,12.54,4,18,Game Zone,Razer Inc.
P00004742,Household Essentials,66.26,1,16,Electro Mart,Sony Corporation
P00198042,Patio & Garden,63.05,4,18,Game Zone,Razer Inc.
P00177442,Grocery,66.29,7,17,Health Zone,Garmin Ltd.
P00000642,Grocery,32.82,2,13,Tech Haven,Samsung Electronics
P00288942,Grocery,26.1,4,18,Game Zone,Razer Inc.
P00270942,Grocery,33.77,6,9,Photo World,Canon Inc.
P00345842,Electronics,64.95,2,13,Tech Haven,Samsung Electronics
P00032042,Grocery,60.69,3,39,Sound Zone,Sonos Inc.
P00112342,Furniture,79.74,1,16,Electro Mart,Sony Corporation
P00031842,Grocery,29.73,1,16,Electro Mart,Sony Corporation
P00346642,Toys,69.02,4,18,Game Zone,Razer Inc.
P00205642,Health & Beauty,17.75,1,16,Electro Mart,Sony Corporation
P00206442,Grocery,52.65,4,18,Game Zone,Razer Inc.
P00046742,Grocery,20.69,5,18,InnoTech,Razer Inc.
P00120042,Grocery,51.01,3,39,Sound Zone,Sonos Inc.
P00043242,Health & Beauty,36.09,2,13,Tech Haven,Samsung Electronics
P00057242,Health & Beauty,64.85,6,9,Photo World,Canon Inc.
P00022842,Health & Beauty,68.18,4,18,Game Zone,Razer Inc.
P00252042,Health & Beauty,4.12,1,16,Electro Mart,Sony Corporation
P00042242,Health & Beauty,13.24,3,39,Sound Zone,Sonos Inc.
P00059542,Electronics,68.55,2,13,Tech Haven,Samsung Electronics
P00021242,Toys,42.34,3,39,Sound Zone,Sonos Inc.
P00023042,Health & Beauty,53.6,4,18,Game Zone,Razer Inc.
P00144242,Health & Beauty,66.84,6,9,Photo World,Canon Inc.
P00101342,Household Essentials,60.19,4,18,Game Zone,Razer Inc.
P00289342,Health & Beauty,71.19,5,18,InnoTech,Razer Inc.
P00281742,Health & Beauty,34.81,4,18,Game Zone,Razer Inc.
P00266642,Grocery,31.22,3,39,Sound Zone,Sonos Inc.
P00323742,Toys,10.96,6,9,Photo World,Canon Inc.
P00116342,Electronics,15.39,2,13,Tech Haven,Samsung Electronics
P00117142,Electronics,17.01,4,18,Game Zone,Razer Inc.
P00084442,Furniture,50.66,2,13,Tech Haven,Samsung Electronics
P00331542,Health & Beauty,74.2,7,17,Health Zone,Garmin Ltd.
P00178942,Health & Beauty,76.09,2,13,Tech Haven,Samsung Electronics
P00026042,Toys,51.76,7,17,Health Zone,Garmin Ltd.
P00233542,Grocery,61.08,1,16,Electro Mart,Sony Corporation
P00127242,Grocery,42.46,6,9,Photo World,Canon Inc.
P00349942,Grocery,18.01,3,39,Sound Zone,Sonos Inc.
P00303342,Grocery,31.16,3,39,Sound Zone,Sonos Inc.
P00051442,Toys,53.72,5,18,InnoTech,Razer Inc.
P00275642,Toys,67.92,3,39,Sound Zone,Sonos Inc.
P00278642,Health & Beauty,32.87,2,13,Tech Haven,Samsung Electronics
P00322042,Health & Beauty,53.13,5,18,InnoTech,Razer Inc.
P00216342,Home & Kitchen,35,3,39,Sound Zone,Sonos Inc.
P00329342,Health & Beauty,60.92,1,16,Electro Mart,Sony Corporation
P00332342,Health & Beauty,18.79,4,18,Game Zone,Razer Inc.
P00111742,Office & School Supplies,21.64,5,18,InnoTech,Razer Inc.
P00293742,Toys,17.33,3,39,Sound Zone,Sonos Inc.
P00032842,Toys,4.1,1,16,Electro Mart,Sony Corporation
P00216142,Grocery,40.75,4,18,Game Zone,Razer Inc.
P00001642,Toys,16.82,1,16,Electro Mart,Sony Corporation
P00351842,Health & Beauty,30.74,3,39,Sound Zone,Sonos Inc.
P00145442,Toys,18.32,3,39,Sound Zone,Sonos Inc.
P00344242,Toys,41.74,2,13,Tech Haven,Samsung Electronics
P00327242,Health & Beauty,18.64,51,51,Pakistan,Pakistan
P00241142,Toys,62.98,4,18,Game Zone,Razer Inc.
P00219242,Clothing,28.53,6,9,Photo World,Canon Inc.
P00057342,Clothing,34.38,5,18,InnoTech,Razer Inc.
P00165742,Toys,2.96,7,17,Health Zone,Garmin Ltd.
P00154642,Toys,54.74,5,18,InnoTech,Razer Inc.
P00192942,Health & Beauty,5.61,5,18,InnoTech,Razer Inc.
P00247042,Health & Beauty,67.86,3,39,Sound Zone,Sonos Inc.
P00150542,Health & Beauty,38.26,3,39,Sound Zone,Sonos Inc.
P00347142,Health & Beauty,32.78,4,18,Game Zone,Razer Inc.
P00326742,Patio & Garden,13.24,1,16,Electro Mart,Sony Corporation
P00330442,Health & Beauty,35.14,4,18,Game Zone,Razer Inc.
P00327842,Toys,74.56,7,17,Health Zone,Garmin Ltd.
P00218342,Health & Beauty,41.87,2,13,Tech Haven,Samsung Electronics
P00259042,Health & Beauty,44.2,4,18,Game Zone,Razer Inc.
P00102542,Toys,58.33,6,9,Photo World,Canon Inc.
P00121142,Toys,18.25,2,13,Tech Haven,Samsung Electronics
P00228242,Toys,34.94,3,39,Sound Zone,Sonos Inc.
P00309542,Health & Beauty,19.35,1,16,Electro Mart,Sony Corporation
P00106742,Home & Kitchen,71.62,1,16,Electro Mart,Sony Corporation
P00102642,Clothing,24.35,4,18,Game Zone,Razer Inc.
P00127442,Grocery,5.72,1,16,Electro Mart,Sony Corporation
P00345642,Grocery,68.57,4,18,Game Zone,Razer Inc.
P00357842,Health & Beauty,76.89,5,18,InnoTech,Razer Inc.
P00115342,Health & Beauty,25.17,3,39,Sound Zone,Sonos Inc.
P00174442,Health & Beauty,56.44,2,13,Tech Haven,Samsung Electronics
P00282642,Health & Beauty,21.63,6,9,Photo World,Canon Inc.
P00037142,Grocery,64.57,4,18,Game Zone,Razer Inc.
P00192042,Health & Beauty,3.85,1,16,Electro Mart,Sony Corporation
P00197542,Health & Beauty,5.61,3,39,Sound Zone,Sonos Inc.
P00048742,Health & Beauty,45.6,2,13,Tech Haven,Samsung Electronics
P00110142,Baby,77.74,3,39,Sound Zone,Sonos Inc.
P00120842,Toys,23.99,4,18,Game Zone,Razer Inc.
P00267742,Health & Beauty,20.6,6,9,Photo World,Canon Inc.
P00086442,Toys,63.33,4,18,Game Zone,Razer Inc.
P00331842,"Arts, Crafts & Sewing",46.93,5,18,InnoTech,Razer Inc.
P00288642,"Arts, Crafts & Sewing",8.06,4,18,Game Zone,Razer Inc.
P00318742,Grocery,75.22,3,39,Sound Zone,Sonos Inc.
P00028442,Grocery,48.26,6,9,Photo World,Canon Inc.
P00208342,Grocery,17,2,13,Tech Haven,Samsung Electronics
P00277442,Grocery,23.93,4,18,Game Zone,Razer Inc.
P00085242,Toys,78.38,2,13,Tech Haven,Samsung Electronics
P00279442,"Arts, Crafts & Sewing",56.58,7,17,Health Zone,Garmin Ltd.
P00235242,Toys,58.46,2,13,Tech Haven,Samsung Electronics
P00251542,Patio & Garden,34.35,7,17,Health Zone,Garmin Ltd.
P00003242,Toys,26.18,1,16,Electro Mart,Sony Corporation
P00221542,Health & Beauty,10.31,6,9,Photo World,Canon Inc.
P00142142,Grocery,45.16,3,39,Sound Zone,Sonos Inc.
P00044442,Grocery,73.99,3,39,Sound Zone,Sonos Inc.
P00147742,Grocery,46.42,5,18,InnoTech,Razer Inc.
P00030942,Clothing,55.34,3,39,Sound Zone,Sonos Inc.
P00288042,Toys,26.76,2,13,Tech Haven,Samsung Electronics
P00313142,Toys,22.66,5,18,InnoTech,Razer Inc.
P00195442,Health & Beauty,5.38,3,39,Sound Zone,Sonos Inc.
P00255842,"Arts, Crafts & Sewing",30.89,1,16,Electro Mart,Sony Corporation
P00112142,Grocery,16.26,4,18,Game Zone,Razer Inc.
P00120342,Health & Beauty,58.58,5,18,InnoTech,Razer Inc.
P00110542,Toys,62.61,3,39,Sound Zone,Sonos Inc.
P00279942,Toys,17.35,1,16,Electro Mart,Sony Corporation
P00303742,Toys,47.47,4,18,Game Zone,Razer Inc.
P00316742,Clothing,71.04,1,16,Electro Mart,Sony Corporation
P00115242,Health & Beauty,48.23,3,39,Sound Zone,Sonos Inc.
P00302842,Toys,39.37,3,39,Sound Zone,Sonos Inc.
P00066442,Health & Beauty,60.78,2,13,Tech Haven,Samsung Electronics
P00273442,Pets,64.08,51,51,Pakistan,Pakistan
P00210142,Appliances,3.6,4,18,Game Zone,Razer Inc.
P00212542,Toys,54.08,6,9,Photo World,Canon Inc.
P00321742,Health & Beauty,7.67,5,18,InnoTech,Razer Inc.
P00020042,Health & Beauty,8.32,7,17,Health Zone,Garmin Ltd.
P00051942,Health & Beauty,6.39,5,18,InnoTech,Razer Inc.
P00303542,Health & Beauty,5.17,5,18,InnoTech,Razer Inc.
P00228142,Health & Beauty,34.92,3,39,Sound Zone,Sonos Inc.
P00123142,Patio & Garden,70.54,3,39,Sound Zone,Sonos Inc.
P00079542,Health & Beauty,7.59,4,18,Game Zone,Razer Inc.
P00103142,Grocery,57.78,1,16,Electro Mart,Sony Corporation
P00305542,Patio & Garden,4.18,4,18,Game Zone,Razer Inc.
P00031042,Toys,58.19,7,17,Health Zone,Garmin Ltd.
P00260042,Health & Beauty,18.9,2,13,Tech Haven,Samsung Electronics
P00055642,Clothing,29.19,4,18,Game Zone,Razer Inc.
P00312742,Office & School Supplies,28.97,6,9,Photo World,Canon Inc.
P00010742,Grocery,2.74,2,13,Tech Haven,Samsung Electronics
P00223242,Health & Beauty,10.75,3,39,Sound Zone,Sonos Inc.
P00114942,Grocery,28.48,1,16,Electro Mart,Sony Corporation
P00183242,Health & Beauty,4.16,1,16,Electro Mart,Sony Corporation
P00030842,Grocery,58.69,4,18,Game Zone,Razer Inc.
P00220142,Grocery,54.15,1,16,Electro Mart,Sony Corporation
P00130442,Home & Kitchen,8.57,4,18,Game Zone,Razer Inc.
P00323042,Health & Beauty,70.84,5,18,InnoTech,Razer Inc.
P00344742,Health & Beauty,29.15,3,39,Sound Zone,Sonos Inc.
P00182442,Health & Beauty,8.67,2,13,Tech Haven,Samsung Electronics
P00015342,Electronics,62.37,6,9,Photo World,Canon Inc.
P00103042,Grocery,64,4,18,Game Zone,Razer Inc.
P00187842,Grocery,64.08,1,16,Electro Mart,Sony Corporation
P00162442,Grocery,40.88,3,39,Sound Zone,Sonos Inc.
P00078542,Grocery,53.98,2,13,Tech Haven,Samsung Electronics
P00324442,Patio & Garden,3,3,39,Sound Zone,Sonos Inc.
P00041642,Health & Beauty,78.82,4,18,Game Zone,Razer Inc.
P00050542,Health & Beauty,71.49,6,9,Photo World,Canon Inc.
P00006442,Health & Beauty,34.99,4,18,Game Zone,Razer Inc.
P00350942,Home & Kitchen,36.11,5,18,InnoTech,Razer Inc.
P00000142,Home & Kitchen,27.8,4,18,Game Zone,Razer Inc.
P00034042,Grocery,71.33,3,39,Sound Zone,Sonos Inc.
P00143142,Toys,4.94,6,9,Photo World,Canon Inc.
P00317942,Toys,17.52,2,13,Tech Haven,Samsung Electronics
P00335542,Toys,2.93,4,18,Game Zone,Razer Inc.
P00361842,Office & School Supplies,65.78,2,13,Tech Haven,Samsung Electronics
P00147942,Grocery,32.82,7,17,Health Zone,Garmin Ltd.
P00028042,Grocery,58.24,2,13,Tech Haven,Samsung Electronics
P00117542,"Books, Movies & Music",70.54,7,17,Health Zone,Garmin Ltd.
P00130742,Grocery,74.48,1,16,Electro Mart,Sony Corporation
P00024142,Toys,31.17,6,9,Photo World,Canon Inc.
P00209742,Grocery,39.84,3,39,Sound Zone,Sonos Inc.
P00160042,Grocery,51.32,3,39,Sound Zone,Sonos Inc.
P00042342,Toys,51.4,5,18,InnoTech,Razer Inc.
P00016542,Grocery,36.82,3,39,Sound Zone,Sonos Inc.
P00016742,Grocery,56.15,2,13,Tech Haven,Samsung Electronics
P00227642,Grocery,8.92,5,18,InnoTech,Razer Inc.
P00146142,Grocery,78.98,3,39,Sound Zone,Sonos Inc.
P00070542,Home & Kitchen,39.09,1,16,Electro Mart,Sony Corporation
P00129842,Household Essentials,15.42,4,18,Game Zone,Razer Inc.
P00243942,Grocery,51.98,5,18,InnoTech,Razer Inc.
P00246742,Patio & Garden,76.73,3,39,Sound Zone,Sonos Inc.
P00310142,Health & Beauty,29.17,1,16,Electro Mart,Sony Corporation
P00244142,Grocery,25.49,4,18,Game Zone,Razer Inc.
P00190142,Home & Kitchen,57.15,1,16,Electro Mart,Sony Corporation
P00109242,Household Essentials,50.3,3,39,Sound Zone,Sonos Inc.
P00089342,Toys,66.54,3,39,Sound Zone,Sonos Inc.
P00288542,Toys,7.75,2,13,Tech Haven,Samsung Electronics
P00212242,Toys,51.54,51,51,Pakistan,Pakistan
P00319342,Health & Beauty,77.4,4,18,Game Zone,Razer Inc.
P00302942,Toys,61.3,6,9,Photo World,Canon Inc.
P00145942,Household Essentials,49.21,5,18,InnoTech,Razer Inc.
P00026342,Toys,49.1,7,17,Health Zone,Garmin Ltd.
P00148842,Household Essentials,11.1,5,18,InnoTech,Razer Inc.
P00299842,Toys,48.32,5,18,InnoTech,Razer Inc.
P00313342,Health & Beauty,9.56,3,39,Sound Zone,Sonos Inc.
P00102442,Toys,19.05,3,39,Sound Zone,Sonos Inc.
P00237542,Grocery,3.97,4,18,Game Zone,Razer Inc.
P0099342,Health & Beauty,58.54,1,16,Electro Mart,Sony Corporation
P00171542,Electronics,35.86,4,18,Game Zone,Razer Inc.
P00350342,Grocery,36.32,7,17,Health Zone,Garmin Ltd.
P00110742,Grocery,2.68,2,13,Tech Haven,Samsung Electronics
P00117642,Automotive,63.99,4,18,Game Zone,Razer Inc.
P00114142,Toys,9.04,6,9,Photo World,Canon Inc.
P00119142,Home & Kitchen,24.61,2,13,Tech Haven,Samsung Electronics
P00280742,Household Essentials,58.29,3,39,Sound Zone,Sonos Inc.
P00271142,Health & Beauty,61.83,1,16,Electro Mart,Sony Corporation
P00003942,Health & Beauty,57.49,1,16,Electro Mart,Sony Corporation
P00151742,Toys,22.74,4,18,Game Zone,Razer Inc.
P00050642,Office & School Supplies,18.46,1,16,Electro Mart,Sony Corporation
P00114742,Toys,22.27,4,18,Game Zone,Razer Inc.
P00113942,Toys,7.41,5,18,InnoTech,Razer Inc.
P00120942,Toys,79.62,3,39,Sound Zone,Sonos Inc.
P00083842,Health & Beauty,44.68,2,13,Tech Haven,Samsung Electronics
P00317842,Toys,39.38,6,9,Photo World,Canon Inc.
P00030642,Toys,37.89,4,18,Game Zone,Razer Inc.
P00273642,Toys,56.66,1,16,Electro Mart,Sony Corporation
P00002542,Toys,31.61,3,39,Sound Zone,Sonos Inc.
P00331642,Pets,78.19,2,13,Tech Haven,Samsung Electronics
P00331242,Pets,33.94,3,39,Sound Zone,Sonos Inc.
P0096442,Clothing,30.3,4,18,Game Zone,Razer Inc.
P00050242,Toys,2.57,6,9,Photo World,Canon Inc.
P00131942,Baby,26.81,4,18,Game Zone,Razer Inc.
P00132042,Furniture,16.3,5,18,InnoTech,Razer Inc.
P00013742,Health & Beauty,61.84,4,18,Game Zone,Razer Inc.
P00119342,Automotive,28.96,3,39,Sound Zone,Sonos Inc.
P00182142,Grocery,61.25,6,9,Photo World,Canon Inc.
P00188942,Toys,43.1,2,13,Tech Haven,Samsung Electronics
P00203142,"Arts, Crafts & Sewing",59.58,4,18,Game Zone,Razer Inc.
P00320442,Household Essentials,68.79,2,13,Tech Haven,Samsung Electronics
P00121642,Health & Beauty,9.13,7,17,Health Zone,Garmin Ltd.
P00289542,Toys,36.89,2,13,Tech Haven,Samsung Electronics
P00329742,Household Essentials,10.97,7,17,Health Zone,Garmin Ltd.
P00326642,Toys,69.84,1,16,Electro Mart,Sony Corporation
P00336142,Health & Beauty,19.87,6,9,Photo World,Canon Inc.
P00111442,Toys,5.43,3,39,Sound Zone,Sonos Inc.
P00234742,Toys,22.58,3,39,Sound Zone,Sonos Inc.
P00090842,Patio & Garden,11.37,5,18,InnoTech,Razer Inc.
P00214542,Toys,11.41,3,39,Sound Zone,Sonos Inc.
P00110942,Grocery,2.29,2,13,Tech Haven,Samsung Electronics
P00289942,Home & Kitchen,6.4,5,18,InnoTech,Razer Inc.
P00104842,Toys,60.84,3,39,Sound Zone,Sonos Inc.
P00113142,Grocery,12.87,1,16,Electro Mart,Sony Corporation
P00177942,Health & Beauty,63.29,4,18,Game Zone,Razer Inc.
P00265242,Health & Beauty,38.48,5,18,InnoTech,Razer Inc.
P00118142,Toys,58.34,3,39,Sound Zone,Sonos Inc.
P00003642,Toys,45.63,1,16,Electro Mart,Sony Corporation
P00178342,Toys,75.84,4,18,Game Zone,Razer Inc.
P00289742,Toys,24.26,1,16,Electro Mart,Sony Corporation
P00085042,Health & Beauty,71.87,3,39,Sound Zone,Sonos Inc.
P00041542,Toys,43.91,3,39,Sound Zone,Sonos Inc.
P00249142,Health & Beauty,39.65,2,13,Tech Haven,Samsung Electronics
P00284042,Toys,18.64,51,51,Pakistan,Pakistan
P00165442,Grocery,11.17,4,18,Game Zone,Razer Inc.
P00115942,Toys,22.66,6,9,Photo World,Canon Inc.
P00074442,Grocery,30.67,5,18,InnoTech,Razer Inc.
P00047242,Grocery,57.89,7,17,Health Zone,Garmin Ltd.
P00199042,Grocery,36.38,5,18,InnoTech,Razer Inc.
P00192542,Grocery,57.4,5,18,InnoTech,Razer Inc.
P00350042,Household Essentials,53.07,3,39,Sound Zone,Sonos Inc.
P00248442,Home & Kitchen,10.07,3,39,Sound Zone,Sonos Inc.
P00172842,Home & Kitchen,65.72,4,18,Game Zone,Razer Inc.
P00198142,Electronics,32.77,1,16,Electro Mart,Sony Corporation
P00282142,Home & Kitchen,18.9,4,18,Game Zone,Razer Inc.
P00166942,Electronics,54.93,7,17,Health Zone,Garmin Ltd.
P00187742,Electronics,74.88,2,13,Tech Haven,Samsung Electronics
P00003442,Clothing,17.25,4,18,Game Zone,Razer Inc.
P00060242,Home & Kitchen,28.61,6,9,Photo World,Canon Inc.
P00137642,Home & Kitchen,41.77,2,13,Tech Haven,Samsung Electronics
P00126142,Toys,67.64,3,39,Sound Zone,Sonos Inc.
P00219842,Health & Beauty,61.68,1,16,Electro Mart,Sony Corporation
P00046142,Grocery,37.42,1,16,Electro Mart,Sony Corporation
P00328142,Toys,21.76,4,18,Game Zone,Razer Inc.
P00255542,Health & Beauty,55.39,1,16,Electro Mart,Sony Corporation
P00250842,Toys,58.33,4,18,Game Zone,Razer Inc.
P00260142,Health & Beauty,19.47,5,18,InnoTech,Razer Inc.
P0097142,Pets,30.32,3,39,Sound Zone,Sonos Inc.
P00209842,Health & Beauty,48.78,2,13,Tech Haven,Samsung Electronics
P00212942,Health & Beauty,10.25,6,9,Photo World,Canon Inc.
P00283942,Health & Beauty,15.87,4,18,Game Zone,Razer Inc.
P00303242,Health & Beauty,24.04,1,16,Electro Mart,Sony Corporation
P00170442,Health & Beauty,46.79,3,39,Sound Zone,Sonos Inc.
P00045842,Health & Beauty,50.16,2,13,Tech Haven,Samsung Electronics
P00040442,Health & Beauty,48.35,3,39,Sound Zone,Sonos Inc.
P00195842,Home & Kitchen,6.25,4,18,Game Zone,Razer Inc.
P00293242,Toys,31.82,6,9,Photo World,Canon Inc.
P00064042,Home & Kitchen,26.48,4,18,Game Zone,Razer Inc.
P00015542,Grocery,68.98,5,18,InnoTech,Razer Inc.
P00105142,Grocery,64.72,4,18,Game Zone,Razer Inc.
P00183442,Grocery,51.03,3,39,Sound Zone,Sonos Inc.
P00199442,Health & Beauty,65.93,6,9,Photo World,Canon Inc.
P00054542,Grocery,13.52,2,13,Tech Haven,Samsung Electronics
P00034742,Health & Beauty,50.9,4,18,Game Zone,Razer Inc.
P00163142,Household Essentials,14.4,2,13,Tech Haven,Samsung Electronics
P00027142,Toys,39.57,7,17,Health Zone,Garmin Ltd.
P00053942,Grocery,46.24,2,13,Tech Haven,Samsung Electronics
P00173342,Grocery,6.39,7,17,Health Zone,Garmin Ltd.
P00233342,Grocery,9.39,1,16,Electro Mart,Sony Corporation
P00010842,Toys,3.05,6,9,Photo World,Canon Inc.
P00120242,Toys,30.73,3,39,Sound Zone,Sonos Inc.
P00223942,Health & Beauty,45.65,3,39,Sound Zone,Sonos Inc.
P00362342,Health & Beauty,30.12,5,18,InnoTech,Razer Inc.
P00027542,Toys,12.15,3,39,Sound Zone,Sonos Inc.
